pmeCategory,pmeLatitude,pmeLongitude,pmeTimeStamp
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 05:06:00
Buitenbrand container,52.031499600000004,4.3778345000000005,2017-12-31 05:06:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 05:06:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 05:17:00
Buitenbrand container,52.0672737,4.275327,2017-12-31 05:17:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 05:17:00
Voertuigbrand,52.1073906,4.301324500000001,2017-12-31 05:17:00
Gebouwbrand woning,52.0497565,4.264037999999999,2017-12-31 05:17:00
Buitenbrand container,52.0779619,4.3002051,2017-12-31 05:17:00
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 05:17:00
Voertuigbrand,52.1019484,4.299727099999999,2017-12-31 05:17:00
Buitenbrand container,52.0451624,4.2947557000000005,2017-12-31 05:17:00
Buitenbrand container,52.031499600000004,4.3778345000000005,2017-12-31 05:17:00
Buitenbrand container,52.0982816,4.363353599999999,2017-12-31 05:17:00
Buitenbrand container,52.09095429999999,4.2628146,2017-12-31 05:17:00
Buitenbrand container,52.0541561,4.3207961,2017-12-31 05:17:00
Buitenbrand container,52.0541561,4.3207961,2017-12-31 11:52:00
Buitenbrand container,52.0451624,4.2947557000000005,2017-12-31 11:52:00
Buitenbrand container,52.0672737,4.275327,2017-12-31 11:52:00
Buitenbrand container,52.031499600000004,4.3778345000000005,2017-12-31 11:52:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 11:52:00
Buitenbrand container,52.0779619,4.3002051,2017-12-31 11:52:00
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 11:52:00
Voertuigbrand,52.1073906,4.301324500000001,2017-12-31 11:52:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 11:52:00
Gebouwbrand woning,52.0497565,4.264037999999999,2017-12-31 11:52:00
Gebouwbrand woning,52.0386884,4.2743764,2017-12-31 11:52:00
Voertuigbrand,52.1019484,4.299727099999999,2017-12-31 11:52:00
Buitenbrand container,52.0982816,4.363353599999999,2017-12-31 11:52:00
Buitenbrand container,52.09095429999999,4.2628146,2017-12-31 11:52:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 16:02:00
Buitenbrand container,52.031499600000004,4.3778345000000005,2017-12-31 16:02:00
Gebouwbrand woning,52.0497565,4.264037999999999,2017-12-31 16:02:00
Buitenbrand container,52.0982816,4.363353599999999,2017-12-31 16:02:00
Buitenbrand container,52.09095429999999,4.2628146,2017-12-31 16:02:00
Buitenbrand container,52.0672737,4.275327,2017-12-31 16:02:00
Buitenbrand container,52.0541561,4.3207961,2017-12-31 16:02:00
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 16:02:00
Gebouwbrand woning,52.0386884,4.2743764,2017-12-31 16:02:00
Buitenbrand container,52.0451624,4.2947557000000005,2017-12-31 16:02:00
Buitenbrand container,52.0601715,4.2609888,2017-12-31 16:02:00
Buitenbrand container,52.0779619,4.3002051,2017-12-31 16:02:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 16:02:00
Voertuigbrand,52.1073906,4.301324500000001,2017-12-31 16:02:00
Voertuigbrand,52.1019484,4.299727099999999,2017-12-31 16:02:00
Gebouwbrand woning,52.0386884,4.2743764,2017-12-31 16:34:00
Buitenbrand container,52.0601715,4.2609888,2017-12-31 16:34:00
Buitenbrand container,52.09095429999999,4.2628146,2017-12-31 16:34:00
Buitenbrand container,52.0672737,4.275327,2017-12-31 16:34:00
Gebouwbrand woning,52.0497565,4.264037999999999,2017-12-31 16:34:00
Buitenbrand container,52.0982816,4.363353599999999,2017-12-31 16:34:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 16:34:00
Voertuigbrand,52.1019484,4.299727099999999,2017-12-31 16:34:00
Buitenbrand container,52.058718,4.262096400000001,2017-12-31 16:34:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 16:34:00
Buitenbrand container,52.0779619,4.3002051,2017-12-31 16:34:00
Buitenbrand container,52.031499600000004,4.3778345000000005,2017-12-31 16:34:00
Voertuigbrand,52.1073906,4.301324500000001,2017-12-31 16:34:00
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 16:34:00
Buitenbrand container,52.0451624,4.2947557000000005,2017-12-31 16:34:00
Buitenbrand container,52.0541561,4.3207961,2017-12-31 16:34:00
Voertuigbrand,52.1073906,4.301324500000001,2017-12-31 16:45:00
Buitenbrand container,52.0982816,4.363353599999999,2017-12-31 16:45:00
Gebouwbrand woning,52.0386884,4.2743764,2017-12-31 16:45:00
Buitenbrand container,52.0601715,4.2609888,2017-12-31 16:45:00
Voertuigbrand,52.1019484,4.299727099999999,2017-12-31 16:45:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 16:45:00
Buitenbrand container,52.0672737,4.275327,2017-12-31 16:45:00
Buitenbrand container,52.031499600000004,4.3778345000000005,2017-12-31 16:45:00
Buitenbrand container,52.0541561,4.3207961,2017-12-31 16:45:00
Buitenbrand container,52.0451624,4.2947557000000005,2017-12-31 16:45:00
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 16:45:00
Buitenbrand container,52.0779619,4.3002051,2017-12-31 16:45:00
Buitenbrand container,52.058718,4.262096400000001,2017-12-31 16:45:00
Buitenbrand container,52.09095429999999,4.2628146,2017-12-31 16:45:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 16:45:00
Gebouwbrand woning,52.0497565,4.264037999999999,2017-12-31 16:45:00
Buitenbrand afval/rommel,52.060944,4.4080761,2017-12-31 16:45:00
Gebouwbrand woning,52.0822057,4.325228900000001,2017-12-31 16:54:00
Buitenbrand container,52.031499600000004,4.3778345000000005,2017-12-31 16:54:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 16:54:00
Gebouwbrand woning,52.0386884,4.2743764,2017-12-31 16:54:00
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 16:54:00
Buitenbrand container,52.0672737,4.275327,2017-12-31 16:54:00
Buitenbrand container,52.058718,4.262096400000001,2017-12-31 16:54:00
